City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Collie,AU,-33.3667,116.15,48.29,91,96,3.62,light rain
273,General Pico,AR,-35.6566,-63.7568,55.22,48,100,11.1,overcast clouds
274,Bonthe,SL,7.5264,-12.505,76.39,86,100,10.22,light rain
275,Laguna,US,38.421,-121.4238,95.34,40,0,8.05,clear sky
276,Kidal,ML,18.4411,1.4078,91.24,34,96,11.65,overcast clouds
277,Saint-Francois,FR,46.4154,3.9054,67.68,45,0,4.61,clear sky
278,Marawi,PH,7.9986,124.2928,70.77,93,100,2.89,overcast clouds
279,Goundam,ML,16.4145,-3.6708,94.12,39,100,0.54,overcast clouds
280,Bardiyah,LY,31.7561,25.0865,79.38,73,0,17.72,clear sky
281,Trat,TH,12.5,102.5,81.88,98,100,4.12,light rain
282,Sungaipenuh,ID,-2.0833,101.3833,61.36,95,52,2.01,broken clouds
283,Holsted,DK,55.5109,8.9187,56.75,89,69,3.74,broken clouds
284,Salalah,OM,17.0151,54.0924,77.09,100,100,2.3,light intensity drizzle
285,Kakucs,HU,47.242,19.3647,76.96,72,53,10.16,broken clouds
286,Balabac,PH,7.9868,117.0645,81.54,80,100,17.34,overcast clouds
287,San Patricio,US,28.017,-97.5169,91.18,53,99,15.75,overcast clouds
288,Sinnamary,GF,5.3833,-52.95,78.76,84,75,10.58,broken clouds
289,Caravelas,BR,-17.7125,-39.2481,71.38,83,1,4.34,clear sky
290,Dumas,US,35.8656,-101.9732,96.62,26,0,16.11,clear sky
291,Peleduy,RU,59.6289,112.7406,50.76,89,98,10.27,overcast clouds
292,Xiuyan,CN,40.2928,123.2744,74.1,99,88,1.86,light rain
293,Katangli,RU,51.7102,143.2326,55.54,96,100,8.66,overcast clouds
294,Luchegorsk,RU,46.4764,134.2569,72.91,85,100,3.31,overcast clouds
295,George,ZA,-33.963,22.4617,53.15,100,75,11.5,broken clouds
296,Kawalu,ID,-7.3817,108.2082,70.84,96,90,2.01,overcast clouds
297,Chapais,CA,49.7834,-74.8492,76.78,57,95,13.18,overcast clouds
298,Alakurtti,RU,66.9672,30.3491,55.8,93,100,7.47,overcast clouds
299,Buchanan,LR,5.8808,-10.0467,75.42,78,73,7.78,broken clouds
300,Malinovoye Ozero,RU,51.6753,79.7825,60.44,50,1,5.23,clear sky
301,Berlevag,NO,70.8578,29.0864,51.8,87,100,14.97,overcast clouds
302,Ust-Nera,RU,64.5667,143.2,69.12,57,100,4.25,overcast clouds
303,Dwarka,IN,22.2394,68.9678,81.48,84,96,11.07,moderate rain
304,Shestakovo,RU,56.4915,103.96,50.38,95,100,4.16,overcast clouds
305,Millville,US,39.4021,-75.0393,88.09,70,0,5.75,clear sky
306,Kalemie,CD,-5.9475,29.1947,70.68,59,21,2.21,few clouds
307,Victor Harbor,AU,-35.5667,138.6167,48.69,84,9,2.3,light rain
308,Port Hedland,AU,-20.3167,118.5667,51.85,58,2,6.91,clear sky
309,San Jose,US,37.3394,-121.895,85.84,53,0,17.27,clear sky
310,Mandali,IQ,33.7499,45.5541,101.41,18,0,8.77,clear sky
311,Yuanping,CN,38.7153,112.7575,75.07,86,93,1.61,overcast clouds
312,Saint-Philippe,RE,-21.3585,55.7679,67.59,76,29,4.27,scattered clouds
313,Port Lincoln,AU,-34.7333,135.8667,53.58,68,85,9.04,overcast clouds
314,Prince Rupert,CA,54.3161,-130.3201,66.29,80,100,5.75,overcast clouds
315,Yazd,IR,31.8972,54.3675,89.71,17,0,9.22,clear sky
316,Hamilton,US,39.1834,-84.5333,84.24,78,40,9.22,scattered clouds
317,Athabasca,CA,54.7169,-113.2854,66.61,84,100,10.47,overcast clouds
318,Longyearbyen,SJ,78.2186,15.6401,49.84,81,75,9.22,broken clouds
319,Tingo Maria,PE,-9.2895,-76.0088,80.91,69,20,3.44,few clouds
320,Amuntai,ID,-2.4177,115.2494,71.98,91,98,0.98,moderate rain
321,Vicosa,BR,-20.7539,-42.8819,66.18,88,36,6.35,scattered clouds
322,Kassala,SD,15.451,36.4,77.05,77,100,10.13,overcast clouds
323,Alexandria,EG,31.2156,29.9553,79.29,69,0,9.53,clear sky
324,Petatlan,MX,17.5167,-101.2667,83.14,78,98,2.55,overcast clouds
325,Puerto Leguizamo,CO,-0.1934,-74.7819,77.61,80,100,0.09,overcast clouds
326,Ocho Rios,JM,18.4025,-77.1048,81.81,78,100,10.85,overcast clouds
327,Codrington,AU,-38.2667,141.9667,49.57,73,100,5.55,overcast clouds
328,Linqiong,CN,30.4159,103.4609,76.82,87,14,2.37,few clouds
329,Moranbah,AU,-22.0016,148.0466,64.63,63,27,13.04,scattered clouds
330,Putina,PE,-15.4667,-69.4333,49.51,47,84,6.15,broken clouds
331,Rastolita,RO,46.9726,24.9929,59.54,81,17,5.95,few clouds
332,Ukiah,US,39.1502,-123.2078,91.65,35,0,12.66,clear sky
333,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.62,83,1,8.19,clear sky
334,Howard Springs,AU,-12.497,131.047,75.11,96,8,2.42,clear sky
335,Dalaba,GN,10.7,-12.25,63.25,99,100,2.55,light rain
336,Kuching,MY,1.55,110.3333,75.42,94,20,2.3,few clouds
